2004dt 02 02 12.77 -00 05 51.5 ugriBV
2004ef 22 42 10.02 +19 59 40.4 ugriBV YJHK
2004eo 20 32 54.19 +09 55 42.7 ugriBV YJHK
2004ey 21 49 07.81 +00 26 39.2 ugriBV YJHK
2004gc 05 21 49.95 +06 40 33.7 ugriBV
2004gs 08 38 23.18 +17 37 39.8 ugriBV YJHK
2004gu 12 46 24.72 +11 56 56.1 ugriBV YJHK
2005A  02 30 43.25 -02 56 19.8 ugriBV YJHK
2005M  09 37 32.36 +23 12 02.7 ugriBV YJHK
2005W  01 50 45.75 +21 45 35.6 ugriBV
2005ag 14 56 43.65 +09 19 42.5 ugriBV YJHK
2005al 13 50 00.33 -30 34 34.2 ugriBV YJHK
2005am 09 16 12.47 -16 18 16.0 ugriBV YJHK
2005be 14 59 32.72 +16 40 11.6 ugriBV
2005bg 12 17 17.23 +16 22 17.4 ugriBV
2005bl 12 04 12.26 +20 24 24.8 ugriBV
2005bo 12 49 41.03 -11 05 47.4 ugriBV
2005el 05 11 48.72 +05 11 39.4 ugriBV YJHK
2005eq 03 08 49.31 -07 01 59.7 ugriBV YJHK
2005hc 01 56 47.94 -00 12 49.1 ugriBV YJHK
2005iq 23 58 32.50 -18 42 33.0 ugriBV YJHK
2005ir 01 16 43.80 +00 47 40.7 ugriBV
2005kc 22 34 07.34 +05 34 06.3 ugriBV YJHK
2005ke 03 35 04.35 -24 56 38.8 ugriBV YJHK
2005ki 10 40 28.22 +09 12 08.4 ugriBV YJHK
2005lu 02 36 03.71 -17 15 50.0 ugriBV
2005na 07 01 36.62 +14 07 59.7 ugriBV YJHK
2006D  12 52 33.94 -09 46 30.8 ugriBV YJHK
2006X  12 22 53.88 +15 48 31.9 ugriBV YJHK
2006ax 11 24 03.46 -12 17 29.2 ugriBV YJHK
2006bh 22 40 16.10 -66 29 06.3 ugriBV YJHK
2006eq 21 28 37.13 +01 13 41.2 ugriBV YJHK
2006gt 00 56 17.30 -01 37 46.0 ugriBV YJHK
2006mr 03 22 42.84 -37 12 28.5 ugriBV YJHK
2006py 22 41 42.04 -00 08 13.5 ugriBV
