2005hj 01 26 48.27 -01 14 16.8  B012415.21-012950.3                  0.0580 d CBET 266  ROTSE-III
2005ku 22 59 42.61 +00 00 49.3  2MASX J22594265-0000478              0.0454 d CBET 304  SDSS-II
2005mc 08 27 06.36 +21 38 45.6  UGC 04414                S0a         0.0252   CBET 331  THCA
2006bd 11 38 28.46 +20 31 34.4  UGC 6609                 E           0.0257   CBET 448  Puckett
2006br 13 30 01.80 +13 24 56.8  NGC 5185                 Sb          0.0246   CBET 482  Puckett
2006bt 15 56 30.53 +20 02 45.3  CGCG 108-013             SA0/a       0.0322   CBET 485  LOSS
2006ef 02 04 19.51 -08 43 42.2  NGC 809                  (R)S0       0.0179   CBET 597  LOSS
2006ej 00 38 59.77 -09 00 56.6  NGC 191A                 S0 pec sp   0.0205   CBET 603  LOSS
2006et 00 42 45.82 -23 33 30.4  NGC 232                  SB(r)a? pec 0.0226   CBET 616  Itagaki
2006ev 21 30 59.26 +13 59 21.2  UGC 11758                Sbc         0.0287   IAUC 8747 Ory
2006fw 01 47 10.34 -00 08 49.2  anonymous                            0.0835 D CBET 627  SDSS-II
2006gj 03 17 35.80 -01 41 30.2  UGC 2650                 Sab         0.0284 d CBET 631  Puckett
2006hb 05 02 01.28 -21 07 55.1  MCG-04-12-34             E?          0.0153   CBET 649  LOSS
2006hx 01 13 57.31 +00 22 18.0  2MASX J01135716+0022171  S0          0.0455   CBET 656  SDSS-II
2006is 05 17 34.37 -23 46 54.2  B051529.79-235009.8                  0.0314 d CBET 659  LOSS
2006kf 03 41 50.48 +08 09 25.0  UGC 2829                 S0          0.0213   CBET 686  LOSS
2006lu 09 15 17.63 -25 36 00.3  anonymous                            0.0534 d IAUC 8770 LOSS
2006ob 01 51 48.11 +00 15 48.3  UGC 1333                 Sb          0.0592   CBET 745  LOSS/SDSS-II
2006os 02 55 01.10 +16 00 34.8  UGC 2384                 S           0.0328   IAUC 8779 ROTSE-III/LOSS
2006ot 02 15 04.84 -20 45 58.2  ESO 544-G31              Sa          0.0531   IAUC 8779 Puckett/LOSS
2007A  00 25 16.66 +12 53 12.5  NGC 105                  Sab         0.0177   CBET 795  Puckett/LOSS
2007N  12 49 01.25 -09 27 10.2  MCG-01-33-012            SA(s)a      0.0129   CBET 818  LOSS
2007S  10 00 31.26 +04 24 26.2  UGC 5378                 Sb          0.0139   CBET 825  Puckett
2007af 14 22 21.03 -00 23 37.6  NGC 5584                 SAB(rs)cd   0.0055   CBET 863  Itagaki
2007ai 16 12 53.74 -21 37 48.7  MCG-04-38-004            Sc          0.0317   CBET 870  LOSS
2007as 09 27 36.01 -80 10 39.2  ESO 18-G18               SB(rs)c     0.0176   CBET 888  Tengra-II
2007ax 08 22 43.26 +22 33 16.9  NGC 2577                 S0          0.0069   CBET 904  Arbour/Itagaki
2007ba 15 16 42.63 +07 23 47.8  UGC 9798                 S0/a        0.0385   CBET 911  LOSS
2007bc 11 19 14.57 +20 48 32.5  UGC 6332                 (R)SBa      0.0208   CBET 913  LOSS
2007bd 08 31 33.28 -01 11 58.0  UGC 4455                 SB(r)a      0.0309   CBET 914  LOSS
2007bm 11 25 02.30 -09 47 53.8  NGC 3672                 SA(s)c      0.0062   CBET 936  Perth
2007ca 13 31 05.81 -15 06 06.6  MCG-02-34- 61            Sc pec sp   0.0141   CBET 945  LOSS
2007hx 02 06 27.08 -00 53 58.3  SDSS J020627.93-005353.0             0.0800   CBET 1057 SDSS-II
2007if 01 10 51.37 +15 27 39.93 anonymous                            0.0742 m CBET 1059 ROTSE-IIIb/SN Factory
2007jg 03 29 50.82 +00 03 24.6  SDSS J032950.83+000316.0             0.0371   CBET 1076 SDSS-II
2007jh 03 36 01.54 +01 06 12.2  CGCG 391-014                         0.0408   CBET 1076 SDSS-II
2007le 23 38 48.41 -06 31 21.3  NGC 7721                 SA(s)c      0.0067   CBET 1100 Monard
2007mm 01 05 46.67 -00 45 31.8  SHK 035                              0.0665   CBET 1102 SDSS-II
2007nq 00 57 33.57 -01 23 19.0  UGC 595                  E           0.0450   CBET 1106 ROTSE-IIIb
2007on 03 38 50.90 -35 34 30.0  NGC 1404                 E1          0.0065   CBET 1121 TAROT
2008C  06 57 11.53 +20 26 13.7  UGC 3611                 S0/a        0.0166   CBET 1195 Puckett
2008R  03 03 53.70 -11 59 39.4  NGC 1200                 SA(s)0      0.0135   CBET 1230 Itagaki
2008bc 09 38 31.23 -63 58 25.6  KK 1524                  S           0.0151   CBET 1301 CHASE
2008bq 06 41 02.51 -38 02 19.0  ESO 308-G25              Sa          0.0340   CBET 1328 Tengra-II
2008fp 07 16 32.60 -29 19 31.8  ESO 428-G014             SAB(r)0 pec 0.0057   CBET 1506 CHASE
2008gp 03 23 00.73 +01 21 42.8  MCG +00-9-74             (R)SAB(r)a  0.0334   CBET 1555 LOSS
2008hv 09 07 34.06 +03 23 32.1  NGC 2765                 S0          0.0126   CBET 1601 CHASE
2008ia 08 50 35.15 -61 16 40.6  ESO 125-6                S0          0.0217   CBET 1612 CHASE
2009F  04 59 23.56 -11 07 50.1  NGC 1725                 S0          0.0130   CBET 1650 CHASE
2009dc 15 51 12.12 +25 42 28.0  UGC 10064                S0          0.0214   CBET 1762 Puckett
